1	1	off	0	e72b351a	add9ebc2	96.83	96	86.67
1	1	on	0	e72b351a	add9ebc2	97.17	97	86.83
1	2	off	0	e72b351a	add9ebc2	96.67	96	86.67
1	2	on	0	e72b351a	add9ebc2	95.17	95.17	85.33
1	3	off	0	e72b351a	add9ebc2	97.17	96.33	86.5
1	3	on	0	e72b351a	add9ebc2	97.5	97.33	84
1	4	off	0	e72b351a	add9ebc2	97.17	96.33	85.5
1	4	on	0	e72b351a	add9ebc2	95	94.83	84.33
1	5	off	0	e72b351a	add9ebc2	96.67	96	85
1	5	on	0	e72b351a	add9ebc2	96.17	97	84
2	1	off	0	9ec900a1	78a95101	96.5	99.67	87.83
2	1	on	0	9ec900a1	78a95101	97	99.5	85.17
2	2	off	0	9ec900a1	78a95101	98.17	99.67	87.83
2	2	on	0	9ec900a1	78a95101	98	99.67	87
2	3	off	0	9ec900a1	78a95101	97.17	99.67	87.83
2	3	on	0	9ec900a1	78a95101	99	99.67	84.17
2	4	off	0	9ec900a1	78a95101	98.5	99.67	89.17
2	4	on	0	9ec900a1	78a95101	98.67	99.33	85.83
2	5	off	0	9ec900a1	78a95101	98.17	99.83	87.83
2	5	on	0	9ec900a1	78a95101	99	99.5	86.33
3	1	off	0	72fa8bb1	1d561cb2	94.33	97.33	80.67
3	1	on	0	72fa8bb1	1d561cb2	97.67	97	82.17
3	2	off	0	72fa8bb1	1d561cb2	95.33	97.33	80.17
3	2	on	0	72fa8bb1	1d561cb2	97.5	97.5	81.83
3	3	off	0	72fa8bb1	1d561cb2	95.33	97.33	80
3	3	on	0	72fa8bb1	1d561cb2	97.5	97.67	81.67
3	4	off	0	72fa8bb1	1d561cb2	92.5	97	82.83
3	4	on	0	72fa8bb1	1d561cb2	97.83	97.67	80.33
3	5	off	0	72fa8bb1	1d561cb2	94.67	97.17	81
3	5	on	0	72fa8bb1	1d561cb2	97.17	98	81.33
4	1	off	0	1e637dc1	1aa0a350	100	100	87.83
4	1	on	0	1e637dc1	1aa0a350	99.5	99.5	83.33
4	2	off	0	1e637dc1	1aa0a350	98.5	98.5	84.67
4	2	on	0	1e637dc1	1aa0a350	98.5	98.83	84.17
4	3	off	0	1e637dc1	1aa0a350	99.33	99.67	84.67
4	3	on	0	1e637dc1	1aa0a350	96	96.17	83.17
4	4	off	0	1e637dc1	1aa0a350	75.67	97.67	82.5
4	4	on	0	1e637dc1	1aa0a350	97.5	97.33	82.5
4	5	off	0	1e637dc1	1aa0a350	87	86.33	80.17
4	5	on	0	1e637dc1	1aa0a350	83.83	99.83	83.33
5	1	off	0	5e24ab0a	436c0cb3	92.5	96	79.33
5	1	on	0	5e24ab0a	436c0cb3	90	96.17	79.17
5	2	off	0	5e24ab0a	436c0cb3	87.17	94.67	78.5
5	2	on	0	5e24ab0a	436c0cb3	87.17	95	78.83
5	3	off	0	5e24ab0a	436c0cb3	92.5	95	80
5	3	on	0	5e24ab0a	436c0cb3	94.5	95.33	80.17
5	4	off	0	5e24ab0a	436c0cb3	94.17	96.17	83.33
5	4	on	0	5e24ab0a	436c0cb3	90.83	96.67	79.67
5	5	off	0	5e24ab0a	436c0cb3	95	94.67	81.67
5	5	on	0	5e24ab0a	436c0cb3	94	96.83	80.67
6	1	off	0	42f15d4c	e0e32089	99.67	100	88.83
6	1	on	0	42f15d4c	e0e32089	100	100	86.33
6	2	off	0	42f15d4c	e0e32089	100	100	86.83
6	2	on	0	42f15d4c	e0e32089	100	100	87.5
6	3	off	0	42f15d4c	e0e32089	100	100	88.67
6	3	on	0	42f15d4c	e0e32089	100	100	85.67
6	4	off	0	42f15d4c	e0e32089	100	100	88.33
6	4	on	0	42f15d4c	e0e32089	100	100	86.33
6	5	off	0	42f15d4c	e0e32089	99	100	88.5
6	5	on	0	42f15d4c	e0e32089	98.17	100	86.5
7	1	off	0	8a30defb	5b2c4e3f	90.33	89.5	77.5
7	1	on	0	8a30defb	5b2c4e3f	88.83	88.83	74.83
7	2	off	0	8a30defb	5b2c4e3f	90.33	89.83	75.83
7	2	on	0	8a30defb	5b2c4e3f	90.83	90.67	75.5
7	3	off	0	8a30defb	5b2c4e3f	90.33	89.67	78.5
7	3	on	0	8a30defb	5b2c4e3f	90.83	90.67	76.33
7	4	off	0	8a30defb	5b2c4e3f	90.33	89.83	77.33
7	4	on	0	8a30defb	5b2c4e3f	91.17	90.5	76
7	5	off	0	8a30defb	5b2c4e3f	90.33	89.83	76
7	5	on	0	8a30defb	5b2c4e3f	91.33	91.33	76.5
8	1	off	0	c0fa7e4a	584f790d	87.5	87.33	76.67
8	1	on	0	c0fa7e4a	584f790d	87.67	88.5	77.33
8	2	off	0	c0fa7e4a	584f790d	87.5	87.67	76.83
8	2	on	0	c0fa7e4a	584f790d	89.17	89.33	77.5
8	3	off	0	c0fa7e4a	584f790d	86.83	87.5	76.5
8	3	on	0	c0fa7e4a	584f790d	89.83	90.33	77.83
8	4	off	0	c0fa7e4a	584f790d	87.5	87.33	76
8	4	on	0	c0fa7e4a	584f790d	88.17	88.33	77
8	5	off	0	c0fa7e4a	584f790d	87.5	87.67	77
8	5	on	0	c0fa7e4a	584f790d	88.33	88.67	76.67
